Disease_Association,Most_Haploinsufficient_gene,dNdS1,dNdS2,dNdS_diff
Recessive.None,C,0,0.0092,0.0092
Unknown.Unknown,C,0.001,0.0033,0.0023
Dominant.Unknown,C,0,0.0039,0.0039
Unknown.Unknown,C,0.0007,0.0341,0.0334
Dominant.Dominant,D,0.0006,0.0009,0.0003
Unknown.Unknown,C,0,0.0009,0.0009
Unknown.Unknown,C,0.0009,0.0021,0.0012
Dominant.Unknown,C,0.0009,0.004,0.0031
None.Unknown,C,0.0045,0.0055,0.001
Unknown.Recessive,C,0,0.0039,0.0039
Recessive.Unknown,D,0,0.0032,0.0032
Dominant.Unknown,C,0,0.003,0.003
Unknown.Unknown,C,0.0006,0.0013,0.0007
Unknown.None,NA,0.0063,0.0341,0.0278
None.Dominant,D,0.0005,0.0026,0.0021
Unknown.Unknown,C,0,0.0012,0.0012
Unknown.None,D,0.0016,0.0059,0.0043
Dominant.None,C,0.0018,0.0052,0.0034
Unknown.Unknown,C,0.0013,0.0085,0.0072
None.Unknown,D,0.0038,0.0063,0.0025
None.Unknown,C,0.0008,0.0196,0.0188
Unknown.Unknown,D,0.0029,0.0089,0.006
Unknown.Unknown,C,0.0018,0.0076,0.0058
Unknown.Unknown,C,0.001,0.0038,0.0028
Unknown.Unknown,C,0,0.0013,0.0013
Recessive.Unknown,NA,0,0.0023,0.0023
Unknown.Unknown,D,0,0.0514,0.0514
Unknown.Unknown,D,0,0.0031,0.0031
Dominant.None,NA,0.0025,0.0042,0.0017
Dominant.Unknown,C,0,0.0063,0.0063
Unknown.Unknown,C,0,0.0024,0.0024
Dominant.Dominant,C,0.0037,0.0127,0.009
None.Unknown,D,0.0025,0.0151,0.0126
Dominant.Dominant,D,0.0027,0.0075,0.0048
Unknown.Recessive,C,0.0026,0.0063,0.0037
Unknown.Unknown,C,0,0.022,0.022
Unknown.None,C,0,0.026,0.026
Unknown.Unknown,C,0.0004,0.001,0.0006
Unknown.Unknown,C,0,0.0396,0.0396
Unknown.Unknown,C,0.0044,0.009,0.0046
Unknown.Unknown,C,0.004,0.016,0.012
Recessive.None,C,0.0028,0.0029,9.99999999999998e-05
Unknown.Unknown,C,0.002,0.0027,0.0007
Unknown.Unknown,D,0.0055,0.0151,0.0096
Unknown.Unknown,D,0.0019,0.0023,0.0004
Unknown.Unknown,C,0.0015,0.0042,0.0027
Unknown.Unknown,D,0.0018,0.0025,0.0007
None.Unknown,C,0.0018,0.0143,0.0125
Dominant.Dominant,C,0.0012,0.0069,0.0057
Unknown.Unknown,C,0.0023,0.0135,0.0112
Recessive.Unknown,C,0.0013,0.0029,0.0016
Unknown.Unknown,D,0.0017,0.0033,0.0016
Unknown.Unknown,D,0.0018,0.0173,0.0155
Unknown.Unknown,C,0.0005,0.0023,0.0018
Dominant.Recessive,C,0.0008,0.0441,0.0433
Both.Unknown,C,0.004,0.0084,0.0044
Dominant.None,C,0,0.0012,0.0012
Unknown.Unknown,C,0.0012,0.0022,0.001
Unknown.Unknown,D,0.0011,0.0059,0.0048
Recessive.Unknown,C,0.0035,0.0055,0.002
Unknown.Unknown,C,0.007,0.0098,0.0028
Unknown.None,C,0.0011,0.0073,0.0062
Dominant.Both,C,0.0007,0.0016,0.0009
Unknown.Recessive,C,0.0051,0.0052,9.99999999999994e-05
Unknown.Unknown,C,0,0.0201,0.0201
Unknown.Unknown,C,0.0088,0.0208,0.012
Recessive.Recessive,D,0.0018,0.0026,0.0008
Recessive.Recessive,NA,0.0023,0.0033,0.001
Unknown.Unknown,D,0.003,0.0033,0.0003
Unknown.Dominant,D,0,0.0029,0.0029
Unknown.None,D,0.0014,0.0015,0.0001
Unknown.Unknown,C,0.0018,0.0074,0.0056
None.Dominant,D,0,0.0014,0.0014
None.Unknown,C,0,0.0442,0.0442
Unknown.Unknown,C,0.0029,0.0114,0.0085
Recessive.None,D,0.0027,0.0081,0.0054
Unknown.Recessive,D,0.0004,0.0011,0.0007
Dominant.Unknown,C,0,0.0013,0.0013
Unknown.Unknown,D,0.0033,0.0055,0.0022
Unknown.Unknown,C,0.0009,0.0024,0.0015
Unknown.Unknown,C,0.0018,0.0081,0.0063
Recessive.Recessive,C,0.0015,0.004,0.0025
Unknown.Recessive,C,0,0.007,0.007
Unknown.Unknown,C,0.0006,0.0047,0.0041
Unknown.Unknown,D,0,0.0015,0.0015
Unknown.Unknown,C,0,0.0093,0.0093
Both.Unknown,C,0.0427,0.1039,0.0612
Unknown.Unknown,C,0.0005,0.007,0.0065
Unknown.Unknown,C,0.0026,0.0094,0.0068
None.None,C,0,0.0042,0.0042
Unknown.Recessive,C,0.0009,0.0036,0.0027
None.None,C,0,0.0011,0.0011
Both.Dominant,D,0.0014,0.0025,0.0011
Unknown.Unknown,D,0,0.0215,0.0215
Recessive.Both,C,0.0035,0.0043,0.0008
Unknown.Unknown,C,0,0.0009,0.0009
Unknown.Unknown,C,0.0011,0.0018,0.0007
Unknown.Unknown,C,0.006,0.0083,0.0023
Unknown.None,C,0,0.0037,0.0037
Unknown.Unknown,C,0.0012,0.0072,0.006
Unknown.None,C,0.0063,0.048,0.0417
Unknown.Unknown,D,0.0022,0.0049,0.0027
Recessive.Unknown,D,0.0017,0.0148,0.0131
Unknown.Unknown,D,0.0005,0.0605,0.06
Unknown.None,C,0.0004,0.0074,0.007
None.Unknown,D,0,0.0017,0.0017
Unknown.None,D,0.0013,0.0022,0.0009
None.Unknown,C,0.0015,0.003,0.0015
Dominant.Unknown,C,0.0013,0.044,0.0427
Unknown.Unknown,C,0,0.005,0.005
Unknown.Unknown,C,0.0073,0.0095,0.0022
Unknown.Unknown,D,0.0055,0.009,0.0035
Dominant.Unknown,C,0.0009,0.0013,0.0004
Unknown.Unknown,C,0.0016,0.003,0.0014
Unknown.Dominant,C,0.0021,0.0048,0.0027
Dominant.Dominant,C,0.0007,0.0034,0.0027
Unknown.Unknown,C,0,0.0016,0.0016
Unknown.Unknown,C,0,0.001,0.001
Dominant.Unknown,C,0.0022,0.0279,0.0257
Unknown.Recessive,C,0.0021,0.0033,0.0012
None.Dominant,D,0.0008,0.0185,0.0177
Recessive.Unknown,C,0,0.0007,0.0007
None.Unknown,C,0,0.0013,0.0013
Unknown.Unknown,C,0,0.0024,0.0024
Both.Unknown,C,0.0021,0.0044,0.0023
Dominant.Recessive,D,0.0011,0.0012,9.99999999999998e-05
Both.Recessive,C,0.002,0.004,0.002
Recessive.Unknown,D,0.0016,0.0348,0.0332
Unknown.Unknown,C,0,0.0187,0.0187
Unknown.Unknown,D,0.0116,0.0912,0.0796
None.Unknown,D,0.0012,0.0025,0.0013
Unknown.Unknown,C,0.0011,0.004,0.0029
Unknown.Unknown,C,0.0007,0.0171,0.0164
Unknown.Unknown,C,0.0023,0.0042,0.0019
Unknown.None,C,0,0.0116,0.0116
Recessive.Unknown,C,0.0014,0.006,0.0046
Unknown.Unknown,C,0,0.0032,0.0032
Unknown.Unknown,D,0,0.007,0.007
Unknown.Unknown,C,0.0013,0.0029,0.0016
Unknown.Unknown,C,0,0.0026,0.0026
None.Recessive,C,0.0027,0.0038,0.0011
Unknown.Recessive,D,0.0005,0.0018,0.0013
Unknown.None,C,0.0009,0.002,0.0011
Unknown.Unknown,D,0.0072,0.0216,0.0144
Unknown.Unknown,NA,0.0015,0.0069,0.0054
Unknown.Recessive,C,0.0024,0.0063,0.0039
Dominant.Dominant,C,0,0.0014,0.0014
Unknown.Unknown,C,0.0021,0.0024,0.0003
Unknown.Unknown,C,0,0.0059,0.0059
Unknown.Both,C,0.0009,0.0448,0.0439
None.Unknown,D,0.0019,0.003,0.0011
Dominant.Dominant,C,0.0038,0.036,0.0322
Unknown.Unknown,D,0.0014,0.0026,0.0012
Unknown.Both,C,0.0077,0.0116,0.0039
Unknown.Dominant,C,0,0.0024,0.0024
Unknown.None,NA,0.0063,0.0279,0.0216
Unknown.None,D,0,0.0013,0.0013
Unknown.Recessive,D,0,0.0211,0.0211
Unknown.Unknown,C,0.0007,0.0009,0.0002
Unknown.Dominant,C,0.0049,0.0051,0.000200000000000001
Unknown.Unknown,D,0.0055,0.0111,0.0056
Unknown.None,C,0,0.0298,0.0298
Recessive.Recessive,NA,0.002,0.0034,0.0014
Recessive.Unknown,NA,0,0.0117,0.0117
Unknown.Unknown,D,0.0084,0.0477,0.0393
Unknown.Both,C,0.007,0.07,0.063
Unknown.Unknown,C,0,0.0009,0.0009
Dominant.Both,C,0.0022,0.0049,0.0027
Dominant.Unknown,D,0,0.0015,0.0015
Dominant.Unknown,C,0.001,0.008,0.007
Unknown.None,C,0.0014,0.0019,0.0005
Dominant.Unknown,D,0.0018,0.0079,0.0061
Unknown.Unknown,C,0.0026,0.004,0.0014
Unknown.Unknown,C,0.0006,0.0033,0.0027
Recessive.None,C,0,0.0025,0.0025
Unknown.Unknown,D,0,0.0013,0.0013
Dominant.Unknown,C,0,0.0051,0.0051
Unknown.Recessive,D,0.0025,0.0031,0.0006
Both.Both,C,0.0015,0.0097,0.0082
Unknown.Unknown,C,0,0.1047,0.1047
Unknown.Unknown,C,0.0011,0.0201,0.019
Recessive.Unknown,NA,0.0008,0.0329,0.0321
Dominant.Recessive,D,0.0018,0.1926,0.1908
Recessive.Unknown,C,0,0.0014,0.0014
Unknown.Unknown,C,0.0007,0.0205,0.0198
Recessive.Recessive,D,0.0035,0.0064,0.0029
Unknown.Dominant,C,0.0007,0.0015,0.0008
Unknown.None,NA,0.0111,0.0501,0.039
Recessive.None,C,0.001,0.0018,0.0008
Unknown.None,C,0.0009,0.0206,0.0197
Dominant.Dominant,C,0,0.0004,0.0004
Unknown.Unknown,C,0.0014,0.0015,0.0001
Unknown.Unknown,C,0.0063,0.0102,0.0039
Unknown.Dominant,C,0.0019,0.0035,0.0016
Unknown.Unknown,C,0.0008,0.0027,0.0019
Unknown.Unknown,C,0.0018,0.0051,0.0033
Unknown.Unknown,C,0,0.0087,0.0087
Unknown.Dominant,D,0.0007,0.0011,0.0004
Unknown.Unknown,D,0.0009,0.022,0.0211
Unknown.Unknown,C,0,0.0136,0.0136
None.Unknown,D,0.0008,0.0015,0.0007
Unknown.Unknown,C,0.0017,0.0042,0.0025
Unknown.Unknown,D,0.0024,0.0274,0.025
Unknown.Unknown,C,0,0.002,0.002
Unknown.Dominant,D,0.0014,0.0016,0.0002
Unknown.Unknown,C,0.0007,0.0015,0.0008
Unknown.Unknown,C,0,0.0034,0.0034
Dominant.Dominant,C,0,0.0007,0.0007
Unknown.Dominant,D,0.0043,0.0175,0.0132
Unknown.Unknown,C,0,0.0102,0.0102
Both.None,C,0,0.0048,0.0048
Dominant.Unknown,C,0.0008,0.0049,0.0041
Unknown.Unknown,C,0.0023,0.0136,0.0113
Unknown.Recessive,D,0.0008,0.0027,0.0019
Unknown.Recessive,D,0.0014,0.009,0.0076
Unknown.Dominant,NA,0.0011,0.0127,0.0116
Unknown.None,D,0.0026,0.0033,0.0007
Both.Both,C,0.0041,0.0043,0.0002
Dominant.Both,C,0.0019,0.0032,0.0013
Unknown.Unknown,D,0,0.0011,0.0011
Unknown.Unknown,C,0.0023,0.0058,0.0035
Unknown.Unknown,C,0,0.0027,0.0027
Unknown.Dominant,C,0,0.0138,0.0138
None.Recessive,C,0.0011,0.0245,0.0234
Dominant.Dominant,C,0.0003,0.0011,0.0008
Dominant.Dominant,D,0.0006,0.0133,0.0127
Unknown.Unknown,C,0.0023,0.1571,0.1548
Dominant.Recessive,D,0.0057,0.0108,0.0051
Unknown.Unknown,D,0,0.0011,0.0011
Recessive.Unknown,C,0.0025,0.0062,0.0037
Unknown.None,D,0,0.0108,0.0108
Unknown.Recessive,D,0,0.0005,0.0005
Unknown.Unknown,C,0,0.0029,0.0029
Unknown.Dominant,D,0,0.0007,0.0007
Dominant.None,C,0.0025,0.0062,0.0037
Both.Dominant,D,0.0016,0.0175,0.0159
Unknown.Unknown,NA,0.0005,0.0012,0.0007
Unknown.Unknown,C,0.0013,0.0278,0.0265
None.Unknown,D,0.0119,0.0291,0.0172
Unknown.Unknown,D,0,0.0172,0.0172
Both.Recessive,D,0.0005,0.001,0.0005
Unknown.Unknown,D,0.0043,0.0057,0.0014
Unknown.Unknown,D,0.0009,0.0014,0.0005
Unknown.Unknown,C,0.0016,0.0028,0.0012
Unknown.Unknown,D,0.0013,0.0049,0.0036
Unknown.Unknown,D,0.0021,0.0027,0.0006
Unknown.Unknown,D,0,0.001,0.001
Unknown.Unknown,C,0.0006,0.0191,0.0185
Dominant.None,C,0,0.0007,0.0007
Unknown.Unknown,C,0.0009,0.0592,0.0583
Unknown.Unknown,C,0.0088,0.0266,0.0178
Unknown.None,NA,0.0063,0.0268,0.0205
Unknown.Unknown,D,0,0.0063,0.0063
None.Recessive,C,0.0012,0.2063,0.2051
None.Recessive,C,0,0.0135,0.0135
Unknown.Recessive,C,0.0018,0.0019,0.0001
Unknown.Unknown,C,0,0.0027,0.0027
Dominant.Recessive,C,0,0.003,0.003
Unknown.Unknown,C,0.0009,0.0018,0.0009
Unknown.Unknown,D,0,0.002,0.002
Dominant.Both,C,0.0005,0.0016,0.0011
Unknown.Unknown,C,0,0.0004,0.0004
Unknown.Unknown,C,0,0.013,0.013
Unknown.Unknown,C,0.0006,0.0024,0.0018
Unknown.Unknown,D,0.0005,0.0011,0.0006
Unknown.Recessive,D,0.0077,0.0226,0.0149
Unknown.Unknown,D,0,0.0035,0.0035
Both.Unknown,D,0.0017,0.0043,0.0026
Unknown.Unknown,C,0.0059,0.0078,0.0019
Unknown.None,NA,0.0063,0.0279,0.0216
None.Recessive,C,0.0011,0.0014,0.0003
None.Unknown,D,0,0.0004,0.0004
None.Unknown,C,0.0025,0.0107,0.0082
Recessive.Both,D,0.0013,0.002,0.0007
Unknown.Unknown,D,0,0.0106,0.0106
Unknown.Unknown,C,0,0.0009,0.0009
Unknown.None,C,0,0.0041,0.0041
Unknown.Unknown,C,0,0.0081,0.0081
Dominant.Unknown,C,0.0007,0.0008,0.0001
Unknown.Dominant,NA,0.0023,0.0158,0.0135
Unknown.Unknown,C,0.0071,0.0078,0.000699999999999999
Recessive.Unknown,C,0.002,0.0204,0.0184
Unknown.Unknown,C,0.0018,0.0522,0.0504
Unknown.Recessive,D,0.0005,0.0008,0.0003
Unknown.Unknown,C,0.0093,0.1103,0.101
Unknown.Unknown,C,0.0047,0.0079,0.0032
Unknown.Unknown,C,0,0.0017,0.0017
Unknown.None,C,0.0011,0.0082,0.0071
Unknown.Unknown,D,0,0.0017,0.0017
Unknown.Unknown,D,0.0009,0.0308,0.0299
Unknown.Unknown,D,0,0.0839,0.0839
Recessive.Unknown,C,0.0007,0.0075,0.0068
Unknown.Unknown,D,0.0024,0.0266,0.0242
None.None,C,0.0005,0.0013,0.0008
Both.Unknown,C,0.0009,0.0025,0.0016
Unknown.Unknown,C,0,0.0005,0.0005
Unknown.Unknown,C,0.0036,0.0094,0.0058
Both.Dominant,C,0.0181,0.0369,0.0188
Both.Unknown,C,0.0009,0.0227,0.0218
Unknown.Unknown,C,0.0084,0.027,0.0186
Unknown.Recessive,D,0.0017,0.0445,0.0428
Unknown.Unknown,C,0,0.0015,0.0015
Unknown.Unknown,C,0,0.0029,0.0029
Unknown.Unknown,D,0.0079,0.0222,0.0143
Recessive.Dominant,C,0,0.0012,0.0012
Recessive.Both,C,0.0017,0.0077,0.006
Unknown.Unknown,C,0.0002,0.0264,0.0262
Unknown.Unknown,C,0,0.0079,0.0079
Unknown.Unknown,C,0.0014,0.006,0.0046
Unknown.Unknown,C,0,0.0009,0.0009
Recessive.Dominant,D,0,0.0525,0.0525
Recessive.Unknown,C,0.0023,0.0944,0.0921
Dominant.Unknown,C,0.0006,0.0009,0.0003
Unknown.Unknown,D,0.0011,0.0019,0.0008
None.None,C,0.0018,0.0257,0.0239
Unknown.Unknown,C,0,0.0029,0.0029
Unknown.None,C,0,0.0024,0.0024
None.Unknown,NA,0.0023,0.0347,0.0324
Unknown.Unknown,C,0,0.0005,0.0005
Unknown.Unknown,C,0.0023,0.0044,0.0021
Dominant.Unknown,C,0.0008,0.004,0.0032
Unknown.Unknown,C,0,0.0025,0.0025
Unknown.Unknown,D,0.0008,0.0016,0.0008
Unknown.None,C,0,0.0035,0.0035
Unknown.Unknown,C,0,0.0012,0.0012
Dominant.Unknown,D,0.0006,0.0015,0.0009
None.Recessive,C,0.0012,0.0016,0.0004
Unknown.Unknown,D,0,0.0091,0.0091
Unknown.None,C,0.0047,0.0239,0.0192
Unknown.Unknown,C,0.0009,0.0038,0.0029
Unknown.Recessive,C,0.0011,0.0042,0.0031
Unknown.Unknown,D,0.0005,0.001,0.0005
Unknown.Unknown,C,0.0018,0.0034,0.0016
Unknown.Both,D,0.0011,0.0075,0.0064
Unknown.Recessive,D,0.0047,0.0052,0.0005
Recessive.Unknown,C,0.0007,0.0008,0.0001
None.Recessive,C,0.0011,0.006,0.0049
Unknown.Unknown,C,0,0.0063,0.0063
Unknown.Dominant,C,0,0.0057,0.0057
Unknown.Unknown,C,0,0.0047,0.0047
Dominant.Dominant,C,0,0.0031,0.0031
Unknown.Unknown,D,0.0039,0.0191,0.0152
Unknown.Unknown,C,0.0032,0.0167,0.0135
Unknown.Unknown,D,0.0004,0.0123,0.0119
Unknown.Unknown,C,0.0008,0.005,0.0042
Unknown.Unknown,D,0,0.05,0.05
None.Both,D,0.0013,0.0026,0.0013
Unknown.Unknown,D,0.0012,0.0501,0.0489
Unknown.Unknown,D,0.0039,0.0328,0.0289
Unknown.Unknown,C,0.0026,0.0049,0.0023
Unknown.Unknown,D,0,0.0014,0.0014
Unknown.Unknown,D,0.0015,0.0123,0.0108
Unknown.Unknown,C,0,0.001,0.001
Unknown.Dominant,C,0,0.0006,0.0006
Unknown.Unknown,D,0,0.033,0.033
None.Recessive,D,0.0149,0.2,0.1851
Recessive.None,NA,0.001,0.0137,0.0127
Unknown.Unknown,C,0.0022,0.0055,0.0033
None.None,D,0,0.0011,0.0011
Unknown.Unknown,C,0.0013,0.0022,0.0009
Unknown.Unknown,C,0.0007,0.0029,0.0022
Recessive.None,D,0.0021,0.0031,0.001
Recessive.Unknown,C,0.0043,0.0095,0.0052
Unknown.Unknown,D,0.0014,0.0033,0.0019
Unknown.None,C,0.0062,0.0212,0.015
Dominant.Unknown,D,0.0064,0.016,0.0096
Unknown.Unknown,C,0.0006,0.0162,0.0156
Unknown.Unknown,D,0.0029,0.0092,0.0063
None.Unknown,C,0.0017,0.0078,0.0061
Recessive.Unknown,C,0,0.0016,0.0016
Unknown.Recessive,D,0,0.0029,0.0029
Unknown.Unknown,C,0.0025,0.0049,0.0024
Unknown.Unknown,C,0.0018,0.0087,0.0069
Unknown.Unknown,C,0,0.003,0.003
Unknown.Unknown,D,0.0055,0.0092,0.0037
Both.Unknown,C,0.0145,0.0944,0.0799
Unknown.None,D,0.0021,0.0026,0.0005
Unknown.Unknown,D,0.0018,0.0136,0.0118
Unknown.Unknown,D,0.0011,0.0839,0.0828
Unknown.Dominant,C,0.0008,0.0048,0.004
Dominant.Unknown,C,0.0018,0.0026,0.0008
Unknown.Unknown,D,0,0.001,0.001
Unknown.Unknown,D,0,0.0007,0.0007
Unknown.Unknown,C,0.0032,0.0332,0.03
Both.Unknown,D,0.0038,0.0308,0.027
Unknown.Dominant,C,0.0023,0.0033,0.001
Unknown.Unknown,C,0.0013,0.0034,0.0021
Unknown.Unknown,D,0.0051,0.0062,0.0011
Unknown.Unknown,C,0,0.0009,0.0009
Unknown.Both,D,0.0005,0.0027,0.0022
Recessive.Recessive,D,0.0064,0.1926,0.1862
Unknown.Unknown,D,0.0015,0.0286,0.0271
None.None,D,0.0031,0.0043,0.0012
None.Unknown,C,0.0012,0.0136,0.0124
Unknown.Unknown,C,0.0015,0.0102,0.0087
Unknown.Unknown,D,0.0017,0.0026,0.0009
Dominant.Dominant,C,0.0005,0.0034,0.0029
Unknown.None,NA,0.0063,0.0259,0.0196
Unknown.None,NA,0.0063,0.0278,0.0215
Dominant.Dominant,D,0.0005,0.0006,9.99999999999999e-05
Unknown.Unknown,C,0.0013,0.0015,0.0002
Unknown.Unknown,C,0.0026,0.0058,0.0032
None.None,D,0.0034,0.004,0.0006
None.Unknown,C,0.0019,0.006,0.0041
Dominant.Unknown,C,0,0.001,0.001
Recessive.Recessive,D,0.002,0.0041,0.0021
Unknown.Unknown,C,0,0.0042,0.0042
Unknown.Unknown,C,0,0.0008,0.0008
Unknown.Unknown,C,0.0018,0.0108,0.009
Unknown.Unknown,D,0.0033,0.0092,0.0059
Both.Both,D,0.0016,0.0054,0.0038
Both.Unknown,C,0.0006,0.0041,0.0035
Unknown.None,D,0.0077,0.012,0.0043
Unknown.Unknown,C,0,0.0032,0.0032
Unknown.Unknown,C,0.0008,0.0027,0.0019
Unknown.None,C,0,0.0867,0.0867
Both.Dominant,NA,0,0.0158,0.0158
Unknown.Unknown,D,0.0008,0.0009,9.99999999999999e-05
Unknown.Unknown,D,0,0.0006,0.0006
Unknown.Unknown,C,0.0039,0.0045,0.0006
Recessive.Unknown,D,0,0.0008,0.0008
None.None,C,0,0.0023,0.0023
Unknown.Unknown,C,0.0009,0.0037,0.0028
Unknown.Unknown,D,0.0006,0.001,0.0004
Dominant.Both,C,0.0005,0.0016,0.0011
Unknown.Unknown,C,0.0012,0.0014,0.0002
Unknown.Unknown,D,0.0007,0.022,0.0213
Unknown.Unknown,C,0,0.0917,0.0917
None.None,C,0,0.0086,0.0086
Unknown.Dominant,D,0.0041,0.0757,0.0716
Unknown.Unknown,D,0.002,0.0369,0.0349
Unknown.Unknown,C,0.0009,0.0037,0.0028
Unknown.Unknown,C,0.0021,0.0027,0.0006
Unknown.Unknown,D,0.0027,0.0072,0.0045
Dominant.Dominant,D,0,0.0012,0.0012
Dominant.Unknown,D,0.0024,0.026,0.0236
Unknown.Unknown,C,0.0008,0.003,0.0022
Dominant.Dominant,D,0.001,0.0372,0.0362
None.Unknown,D,0,0.0016,0.0016
None.Recessive,C,0.0036,0.0135,0.0099
Unknown.Unknown,C,0.0034,0.0135,0.0101
Recessive.None,D,0,0.0009,0.0009
Unknown.Recessive,C,0,0.0022,0.0022
Recessive.Recessive,C,0.0024,0.0542,0.0518
Dominant.Dominant,C,0.0003,0.0501,0.0498
None.Unknown,NA,0.0029,0.0033,0.0004
None.Unknown,C,0.0009,0.0071,0.0062
Recessive.Dominant,D,0.0034,0.0075,0.0041
Unknown.Unknown,C,0.0224,0.0278,0.0054
Unknown.Unknown,C,0.0087,0.0108,0.0021
None.Unknown,D,0,0.001,0.001
Unknown.Dominant,D,0.0062,0.0191,0.0129
Dominant.Dominant,C,0.0015,0.002,0.0005
Unknown.Unknown,D,0,0.0008,0.0008
Unknown.Unknown,D,0,0.0013,0.0013
Unknown.Unknown,C,0.0013,0.0142,0.0129
Both.Unknown,C,0.0026,0.023,0.0204
Dominant.Dominant,C,0.0005,0.0034,0.0029
Unknown.Unknown,D,0.001,0.005,0.004
Unknown.Unknown,D,0.0014,0.0148,0.0134
Unknown.None,C,0.0016,0.0019,0.0003
Unknown.Unknown,D,0.0013,0.02,0.0187
Unknown.Unknown,D,0.0004,0.0605,0.0601
Unknown.None,C,0,0.0088,0.0088
Recessive.Unknown,C,0.0046,0.0097,0.0051
Both.Unknown,C,0.0037,0.0442,0.0405
Unknown.Unknown,D,0.0009,0.0028,0.0019
Unknown.Unknown,C,0,0.0015,0.0015
Recessive.Unknown,C,0.0009,0.0014,0.0005
Unknown.Recessive,D,0.002,0.0329,0.0309
Unknown.None,D,0,0.0008,0.0008
Unknown.Dominant,C,0.0008,0.0059,0.0051
Unknown.Unknown,C,0.0022,0.0023,9.99999999999998e-05
Recessive.Unknown,D,0.0162,0.0245,0.0083
Unknown.Unknown,C,0.0007,0.0057,0.005
Dominant.Unknown,C,0,0.002,0.002
Dominant.Unknown,C,0,0.0022,0.0022
Unknown.Unknown,D,0,0.0034,0.0034
Unknown.Recessive,D,0,0.0016,0.0016
Unknown.Unknown,C,0.002,0.0028,0.0008
None.None,C,0.0037,0.0105,0.0068
Unknown.Recessive,C,0.0009,0.0184,0.0175
Dominant.Unknown,C,0.0017,0.0127,0.011
Unknown.Unknown,D,0,0.0009,0.0009
Both.Unknown,C,0.001,0.0031,0.0021
Unknown.None,NA,0.0063,0.0267,0.0204
Unknown.Dominant,C,0,0.0048,0.0048
Recessive.Unknown,C,0,0.0016,0.0016
Unknown.Unknown,C,0.0117,0.0278,0.0161
Unknown.Recessive,C,0.0004,0.0008,0.0004
Unknown.Dominant,C,0.0004,0.0024,0.002
None.None,D,0.0002,0.003,0.0028
Dominant.Unknown,C,0,0.0029,0.0029
Unknown.Unknown,C,0.0017,0.0053,0.0036
Dominant.Recessive,C,0.0076,0.0365,0.0289
Unknown.Unknown,C,0.0008,0.0102,0.0094
Unknown.Unknown,D,0,0.0016,0.0016
Unknown.Unknown,C,0.0033,0.0198,0.0165
Dominant.Recessive,C,0.001,0.0037,0.0027
Recessive.Unknown,D,0.0029,0.0058,0.0029
Unknown.Dominant,D,0.0018,0.0196,0.0178
None.Dominant,D,0.0021,0.1136,0.1115
None.Unknown,C,0.0012,0.0025,0.0013
Recessive.Dominant,D,0,0.0018,0.0018
Unknown.Unknown,C,0.0012,0.0078,0.0066
Recessive.Unknown,D,0.0037,0.0081,0.0044
Recessive.Recessive,D,0.0017,0.0052,0.0035
Unknown.Unknown,C,0,0.0017,0.0017
None.Unknown,D,0.0013,0.0016,0.0003
Dominant.Both,D,0.0025,0.0032,0.0007
None.Unknown,D,0.0019,0.0026,0.0007
Recessive.Recessive,D,0.0018,0.0026,0.0008
Unknown.Unknown,D,0,0.0015,0.0015
None.None,C,0.0045,0.0053,0.0008
Unknown.Unknown,D,0,0.0062,0.0062
Unknown.Unknown,D,0,0.0017,0.0017
Recessive.Recessive,C,0.0007,0.0015,0.0008
Unknown.Unknown,C,0.0004,0.0016,0.0012
Both.Unknown,C,0.0014,0.0036,0.0022
Dominant.Unknown,C,0,0.003,0.003
Dominant.None,D,0.0029,0.0049,0.002
Unknown.Recessive,C,0.0032,0.0089,0.0057
Both.Recessive,D,0.0061,0.0086,0.0025
Dominant.Unknown,D,0,0.0373,0.0373
Both.Recessive,D,0.0022,0.0033,0.0011
Recessive.Unknown,C,0.0038,0.0099,0.0061
None.Unknown,D,0.0032,0.004,0.0008
Unknown.Unknown,D,0,0.0013,0.0013
Recessive.None,C,0.0019,0.0059,0.004
Unknown.Unknown,C,0.001,0.0286,0.0276
Unknown.Unknown,C,0.0029,0.1039,0.101
None.Dominant,D,0,0.002,0.002
Unknown.Unknown,C,0.0002,0.0132,0.013
Unknown.Unknown,C,0.0004,0.0337,0.0333
Unknown.Dominant,C,0,0.0021,0.0021
Unknown.None,C,0.0008,0.0068,0.006
Unknown.Unknown,C,0,0.006,0.006
Unknown.Unknown,C,0.0008,0.0063,0.0055
Dominant.Recessive,C,0.0027,0.0034,0.0007
Unknown.Recessive,C,0,0.1713,0.1713
None.Unknown,C,0.0006,0.0011,0.0005
Recessive.Unknown,C,0.0009,0.002,0.0011
Unknown.Dominant,D,0,0.0012,0.0012
Unknown.Unknown,C,0.0005,0.0009,0.0004
Dominant.Both,C,0,0.0005,0.0005
Unknown.Dominant,C,0.0045,0.1179,0.1134
Unknown.Unknown,D,0.0028,0.0038,0.001
Dominant.Unknown,C,0.0009,0.0021,0.0012
Unknown.Dominant,D,0,0.0014,0.0014
Unknown.None,C,0.0006,0.0081,0.0075
Unknown.Unknown,C,0,0.0017,0.0017
Unknown.Unknown,C,0.0143,0.0159,0.0016
Unknown.Unknown,C,0.0021,0.0082,0.0061
Unknown.Unknown,C,0.0087,0.0126,0.0039
Unknown.Recessive,C,0.0004,0.0062,0.0058
