Virus_Association,Most_Haploinsufficient_gene,Introgression,node_type,dNdS
4.4,C,HSS.HSS,redundant.redundant,0.0072.0.0095
2.4,D,HSS.HSS,redundant.redundant,0.0004.0.0005
3.4,C,HSS.Strict,redundant.redundant,0.0.0028
3.4,C,HSS.HSS,intermittent.redundant,0.0004.0.0033
4.1,C,HSS.HSS,redundant.redundant,0.0009.0.0221
4.4,C,Strict.HSS,critical.redundant,0.001.0.0046
4.4,NA,HSS.HSS,redundant.redundant,0.0.0021
4.4,C,HSS.HSS,redundant.redundant,0.0009.0.0067
4.1,C,HSS.HSS,redundant.redundant,0.0.004
3.2,C,HSS.HSS,redundant.redundant,0.0011.0.0084
3.4,C,HSS.HSS,redundant.redundant,0.0005.0.0466
4.4,D,HSS.HSS,redundant.redundant,0.0.0005
4.4,C,HSS.HSS,redundant.redundant,0.0.0061
4.4,C,Intermediate.HSS,redundant.redundant,0.0.0006
1.4,NA,HSS.HSS,intermittent.redundant,0.0.002
4.4,C,HSS.HSS,intermittent.intermittent,0.0.0042
4.1,C,HSS.HSS,redundant.redundant,0.0.0009
4.4,D,HSS.HSS,redundant.redundant,0.0023.0.0027
4.1,D,HSS.HSS,redundant.redundant,0.0.0075
4.4,C,HSS.HSS,critical.redundant,0.0.0421
3.4,C,HSS.HSS,redundant.redundant,0.0.01
1.1,C,HSS.HSS,redundant.intermittent,0.0025.0.0102
2.4,D,HSS.HSS,redundant.redundant,0.0018.0.0019
4.2,C,HSS.HSS,redundant.redundant,0.0015.0.0187
1.4,D,HSS.HSS,redundant.redundant,0.0.0053
4.4,D,HSS.HSS,redundant.redundant,0.0005.0.0008
4.2,NA,HSS.HSS,critical.redundant,0.0033.0.017
4.4,C,HSS.HSS,redundant.redundant,0.0009.0.0019
4.4,C,HSS.HSS,redundant.redundant,0.0022.0.0592
4.4,C,HSS.HSS,redundant.redundant,0.002.0.0538
4.4,C,HSS.HSS,intermittent.redundant,0.0009.0.0213
4.2,C,HSS.HSS,redundant.critical,0.0.0017
4.4,C,HSS.HSS,redundant.redundant,0.0.0005
2.1,D,HSS.HSS,redundant.redundant,0.0.0008
1.4,C,HSS.HSS,redundant.redundant,0.0022.0.0032
3.4,C,HSS.HSS,redundant.intermittent,0.0049.0.0079
4.4,C,HSS.HSS,redundant.redundant,0.0.0205
1.4,D,HSS.HSS,redundant.intermittent,0.0007.0.0024
4.4,D,HSS.HSS,redundant.redundant,0.0.0008
4.1,C,HSS.HSS,intermittent.redundant,0.0.0025
3.4,C,HSS.HSS,redundant.redundant,0.0005.0.0048
4.1,C,HSS.HSS,redundant.redundant,0.0.0013
4.3,C,HSS.HSS,redundant.redundant,0.0017.0.0027
4.2,C,HSS.HSS,redundant.redundant,0.0025.0.0316
4.2,C,HSS.HSS,redundant.redundant,0.0009.0.0022
4.3,D,Strict.HSS,redundant.intermittent,0.0054.0.0175
4.4,D,HSS.HSS,intermittent.redundant,0.0018.0.0518
4.3,C,HSS.HSS,intermittent.redundant,0.0.0111
4.4,C,HSS.HSS,redundant.redundant,0.0.0009
2.2,C,HSS.HSS,intermittent.redundant,0.0.0023
4.2,D,HSS.HSS,redundant.redundant,0.0046.0.1926
4.4,C,HSS.HSS,redundant.redundant,0.0.0029
2.3,NA,HSS.Strict,redundant.redundant,0.001.0.0034
4.4,D,HSS.HSS,redundant.redundant,0.0009.0.0067
3.4,C,HSS.HSS,redundant.redundant,0.0086.0.0111
2.3,C,HSS.HSS,redundant.redundant,0.0.0028
4.4,D,HSS.HSS,redundant.redundant,0.0015.0.0457
4.1,C,HSS.HSS,redundant.redundant,0.004.0.006
4.4,C,HSS.HSS,redundant.redundant,0.0.0007
2.4,C,HSS.Intermediate,redundant.redundant,0.0005.0.0015
3.4,C,Intermediate.HSS,redundant.redundant,0.0011.0.0027
4.4,C,HSS.HSS,redundant.redundant,0.0027.0.0037
4.4,C,HSS.HSS,redundant.redundant,0.0006.0.0134
4.4,C,HSS.HSS,redundant.redundant,0.0.0261
4.3,C,HSS.Intermediate,redundant.redundant,0.0008.0.0019
3.4,C,HSS.HSS,redundant.redundant,0.0032.0.0151
4.4,C,HSS.HSS,redundant.redundant,0.0024.0.0038
4.4,C,HSS.HSS,intermittent.redundant,0.0016.0.0278
4.4,C,HSS.HSS,redundant.intermittent,0.0016.0.0053
4.4,C,HSS.HSS,redundant.redundant,0.0.0023
4.4,C,HSS.HSS,redundant.redundant,0.0025.0.1349
3.4,C,HSS.HSS,redundant.redundant,0.0101.0.0161
4.4,D,HSS.HSS,redundant.intermittent,0.0003.0.0234
4.3,C,HSS.HSS,intermittent.intermittent,0.0005.0.0083
2.2,C,HSS.HSS,redundant.redundant,0.002.0.003
4.4,D,HSS.HSS,redundant.redundant,0.0008.0.0042
4.3,D,HSS.HSS,redundant.redundant,0.0012.0.0027
4.4,D,HSS.HSS,redundant.redundant,0.0.0005
4.4,C,HSS.Strict,intermittent.redundant,0.0.0013
1.4,C,HSS.HSS,redundant.intermittent,0.001.0.0022
4.3,D,HSS.HSS,redundant.intermittent,0.0022.0.0086
4.4,C,HSS.HSS,intermittent.intermittent,0.0015.0.0051
3.3,C,HSS.HSS,redundant.redundant,0.0.0009
3.3,C,HSS.Strict,redundant.redundant,0.0204.0.0404
3.4,C,HSS.HSS,redundant.redundant,0.0024.0.0059
4.2,D,HSS.HSS,redundant.intermittent,0.0056.0.1297
4.4,C,HSS.HSS,redundant.redundant,0.0012.0.0023
4.4,C,HSS.HSS,redundant.redundant,0.0006.0.0085
4.4,NA,HSS.HSS,redundant.redundant,0.0063.0.029
4.1,D,HSS.HSS,redundant.intermittent,0.0021.0.0022
4.3,NA,HSS.HSS,redundant.redundant,0.0018.0.0224
2.4,D,HSS.HSS,redundant.intermittent,0.0009.0.0021
4.2,C,HSS.HSS,redundant.redundant,0.0.0457
4.4,D,HSS.HSS,intermittent.redundant,0.0.0273
4.4,C,HSS.HSS,redundant.intermittent,0.0.0226
4.4,D,HSS.HSS,redundant.redundant,0.001.0.0066
3.4,C,HSS.HSS,critical.intermittent,0.0.0063
1.4,C,HSS.HSS,intermittent.redundant,0.0014.0.0017
4.4,D,HSS.HSS,redundant.redundant,0.0015.0.0123
3.4,C,HSS.HSS,redundant.redundant,0.0011.0.0064
