Family_number,Family_Root,Number_of_members,DNA,RNA,Multi,None,Total_VIP,Num_Critical
11911,LECA,2,0,0,0,2,0,0
1194,Gnathostomata,2,0,1,0,1,1,0
11941,Amniota,2,0,0,0,2,0,0
11967,Homininae,2,1,0,0,1,1,0
1197,Bilateria,9,1,1,2,5,4,1
11997,LECA,2,0,1,0,1,1,0
12,LECA,11,2,1,2,6,5,0
120,Vertebrata,2,0,0,1,1,1,0
12039,Amniota,2,0,0,0,2,0,0
1205,Bilateria,7,1,0,2,4,3,0
12055,LECA,2,0,1,0,1,1,0
1206,LECA,2,0,0,0,2,0,0
1210,LECA,7,0,1,0,6,1,1
12115,LECA,2,0,0,0,2,0,0
1213,LECA,8,0,3,2,3,5,1
1216,LECA,4,0,1,0,3,1,0
12169,Gnathostomata,2,0,0,0,2,0,0
1217,LECA,29,2,5,1,21,8,0
1218,LECA,2,0,1,0,1,1,0
1219,Vertebrata,3,0,1,1,1,2,0
122,Opisthokonta,10,0,1,2,7,3,1
1221,Euteleostomi,4,0,1,1,2,2,1
1223,LECA,3,0,1,1,1,2,0
1227,LECA,7,0,0,2,5,2,0
12289,Euteleostomi,2,0,0,0,2,0,0
1229,LECA,5,0,0,2,3,2,0
123,LECA,2,0,0,0,2,0,0
1230,Bilateria,2,0,0,0,2,0,0
12301,LECA,2,0,1,0,1,1,0
12308,Gnathostomata,2,0,0,0,2,0,0
1231,LECA,13,2,2,4,5,8,1
1237,LECA,7,0,1,0,6,1,0
1238,LECA,13,0,0,1,12,1,0
1241,Bilateria,7,0,0,2,5,2,0
12424,Bilateria,2,0,0,0,2,0,0
12428,Vertebrata,2,0,1,0,1,1,0
12446,Vertebrata,2,0,1,0,1,1,0
1245,LECA,12,1,2,3,6,6,0
1246,Gnathostomata,3,1,0,0,2,1,0
1247,LECA,69,8,12,9,40,29,1
125,LECA,2,0,0,1,1,1,0
1250,LECA,6,0,0,0,6,0,0
1252,LECA,4,1,0,0,3,1,0
1253,LECA,2,0,1,1,0,2,0
1256,LECA,4,0,2,0,2,2,0
1257,LECA,3,0,2,1,0,3,0
1258,Bilateria,5,0,0,2,3,2,1
