Family_number,Family_Root,Number_of_members,DNA,RNA,Multi,None,Total_VIP,Num_Critical
366,LECA,3,2,0,0,1,2,0
3662,LECA,7,0,0,0,7,0,0
3663,LECA,5,3,0,0,2,3,0
367,Gnathostomata,2,0,0,0,2,0,0
3672,LECA,2,0,0,1,1,1,0
3674,Bilateria,2,0,0,1,1,1,0
3679,LECA,3,1,0,0,2,1,0
368,LECA,4,0,2,0,2,2,0
3687,LECA,3,0,0,1,2,1,0
369,LECA,6,0,0,1,5,1,0
3695,Simiiformes,2,0,0,0,2,0,0
37,LECA,9,0,2,1,6,3,0
370,Bilateria,2,0,1,0,1,1,0
3700,Vertebrata,6,1,0,0,5,1,0
3702,LECA,2,0,0,2,0,2,1
3703,LECA,2,0,1,0,1,1,0
3706,Vertebrata,2,0,1,0,1,1,0
3708,Bilateria,2,0,0,2,0,2,1
3709,LECA,2,0,0,0,2,0,0
371,LECA,25,3,0,3,19,6,3
3714,Vertebrata,8,0,0,0,8,0,0
3718,Bilateria,2,0,0,1,1,1,0
3720,Opisthokonta,4,2,0,2,0,4,2
3721,LECA,2,0,2,0,0,2,0
3733,Vertebrata,2,0,0,0,2,0,1
3735,Vertebrata,2,0,0,1,1,1,0
3736,LECA,4,1,0,1,2,2,0
3737,Opisthokonta,2,0,0,1,1,1,1
3739,Bilateria,2,0,0,0,2,0,0
374,LECA,7,0,0,4,3,4,0
3740,Bilateria,2,0,0,1,1,1,2
3746,Opisthokonta,5,0,1,0,4,1,1
3748,Chordata,3,0,0,0,3,0,0
3751,LECA,2,2,0,0,0,2,1
3752,LECA,2,0,0,0,2,0,0
3763,Tetrapoda,5,1,0,1,3,2,0
3764,Gnathostomata,2,0,0,0,2,0,0
3765,LECA,2,0,0,0,2,0,0
3767,LECA,3,0,0,1,2,1,0
377,Chordata,22,3,3,1,15,7,0
3774,Opisthokonta,2,0,0,1,1,1,0
3775,LECA,9,0,1,0,8,1,0
3778,LECA,2,0,0,0,2,0,0
3782,Opisthokonta,2,0,0,1,1,1,0
3787,LECA,2,0,0,2,0,2,0
379,LECA,2,0,0,0,2,0,0
3792,Vertebrata,4,0,0,1,3,1,0
3794,LECA,2,1,0,1,0,2,0
3799,Opisthokonta,5,0,1,1,3,2,1
38,LECA,9,1,0,0,8,1,1
380,LECA,30,2,2,1,25,5,0
3803,LECA,3,0,0,0,3,0,0
3807,LECA,2,1,0,0,1,1,0
3809,LECA,3,0,0,1,2,1,1
381,LECA,5,0,0,1,4,1,0
3818,Chordata,9,2,0,2,5,4,0
382,Gnathostomata,9,2,0,2,5,4,2
3822,Bilateria,3,0,0,0,3,0,0
383,LECA,13,1,1,1,10,3,0
3834,LECA,3,1,0,0,2,1,0
384,LECA,3,0,0,0,3,0,0
3840,LECA,3,2,0,0,1,2,0
3845,LECA,5,0,0,2,3,2,0
3847,LECA,2,0,0,1,1,1,0
385,LECA,10,1,0,2,7,3,0
386,LECA,54,5,3,8,38,16,4
3860,LECA,6,1,1,0,4,2,0
3871,LECA,4,0,0,0,4,0,0
3872,Euteleostomi,4,1,0,0,3,1,0
388,Bilateria,7,1,0,1,5,2,0
3880,Vertebrata,2,0,0,0,2,0,0
3881,Bilateria,3,0,0,1,2,1,0
389,LECA,3,1,0,0,2,1,0
3892,LECA,15,1,1,0,13,2,0
3894,Opisthokonta,3,0,1,0,2,1,0
3897,Gnathostomata,3,0,1,0,2,1,0
3899,LECA,2,1,0,0,1,1,0
39,Euteleostomi,2,0,0,1,1,1,0
390,LECA,13,1,1,0,11,2,0
3902,LECA,5,1,0,1,3,2,0
3906,Hominidae,3,0,0,0,3,0,0
3907,LECA,2,0,1,0,1,1,0
3908,Chordata,2,0,0,0,2,0,0
3917,Vertebrata,2,0,0,1,1,1,1
392,LECA,13,2,3,2,6,7,0
3926,LECA,2,0,0,0,2,0,0
393,LECA,3,1,0,0,2,1,0
3930,LECA,15,0,0,3,12,3,0
3937,Opisthokonta,2,0,0,2,0,2,1
3940,Vertebrata,3,0,0,2,1,2,0
3942,LECA,3,1,0,0,2,1,0
3943,LECA,4,0,0,0,4,0,0
3945,LECA,5,0,0,1,4,1,0
3947,LECA,2,0,0,0,2,0,0
395,LECA,3,0,0,0,3,0,0
3952,Opisthokonta,2,2,0,0,0,2,0
3954,Euteleostomi,3,1,0,1,1,2,0
3957,Vertebrata,2,0,0,0,2,0,0
3958,Bilateria,6,1,1,0,4,2,1
3959,Gnathostomata,5,0,0,2,3,2,1
396,Bilateria,7,1,1,0,5,2,1
3963,Bilateria,4,0,0,0,4,0,0
397,Gnathostomata,3,0,0,1,2,1,0
3977,LECA,2,0,0,0,2,0,0
398,Bilateria,4,0,1,0,3,1,0
3981,LECA,2,0,1,0,1,1,0
3982,LECA,3,0,0,0,3,0,0
3983,Vertebrata,2,0,0,0,2,0,0
3987,Amniota,2,0,0,1,1,1,0
399,LECA,3,0,0,0,3,0,0
3990,Gnathostomata,2,0,1,0,1,1,0
3992,LECA,4,0,0,0,4,0,0
3994,LECA,5,1,1,0,3,2,0
4,LECA,3,0,2,0,1,2,0
40,LECA,17,4,1,2,10,7,0
400,LECA,2,0,0,0,2,0,0
4000,Bilateria,4,0,1,0,3,1,0
4002,LECA,2,0,0,0,2,0,0
4005,Chordata,3,0,0,0,3,0,0
4007,LECA,2,0,0,0,2,0,0
4008,LECA,3,2,0,1,0,3,0
401,LECA,19,4,0,3,12,7,1
4013,Chordata,2,0,0,0,2,0,0
4019,LECA,4,0,2,1,1,3,0
402,Bilateria,8,2,1,2,3,5,0
4020,LECA,2,0,2,0,0,2,0
4022,Bilateria,2,2,0,0,0,2,0
4027,Amniota,15,0,2,1,12,3,0
4032,LECA,3,1,0,0,2,1,0
404,LECA,11,1,4,0,6,5,0
4043,Opisthokonta,2,0,0,0,2,0,0
4044,Vertebrata,9,0,0,1,8,1,0
405,LECA,3,1,0,0,2,1,0
4050,LECA,2,0,1,0,1,1,0
4051,Vertebrata,4,0,0,1,3,1,1
4054,Bilateria,2,0,0,0,2,0,0
4056,Gnathostomata,2,1,0,0,1,1,0
4057,Opisthokonta,2,0,0,0,2,0,0
4059,LECA,2,0,1,0,1,1,0
4063,Opisthokonta,2,0,1,0,1,1,0
407,Opisthokonta,2,0,0,0,2,0,0
4070,LECA,2,0,0,0,2,0,0
4071,Gnathostomata,3,0,1,0,2,1,0
4072,LECA,2,0,1,0,1,1,0
4073,Gnathostomata,2,1,0,0,1,1,0
4076,LECA,4,0,2,1,1,3,1
4077,LECA,2,0,0,0,2,0,0
4084,Vertebrata,2,1,0,0,1,1,0
409,LECA,4,0,1,0,3,1,0
4097,Euteleostomi,2,1,0,0,1,1,0
41,LECA,7,3,0,0,4,3,0
410,Opisthokonta,2,0,0,0,2,0,0
411,LECA,12,0,0,0,12,0,0
4110,LECA,4,1,0,1,2,2,0
4113,LECA,7,3,0,0,4,3,0
4119,Gnathostomata,2,0,0,0,2,0,0
4121,Euteleostomi,4,0,1,0,3,1,0
4122,Chordata,2,0,1,0,1,1,0
4129,Gnathostomata,2,0,0,0,2,0,0
413,LECA,3,1,1,0,1,2,0
414,LECA,8,1,1,0,6,2,0
4142,LECA,2,0,0,0,2,0,0
4143,Eutheria,2,0,0,0,2,0,0
4149,Chordata,17,2,2,0,13,4,2
415,LECA,28,5,2,2,19,9,0
416,LECA,10,1,1,2,6,4,1
4163,Vertebrata,2,0,0,0,2,0,0
4169,LECA,19,3,6,1,9,10,1
418,LECA,4,0,0,0,4,0,0
4183,Vertebrata,3,0,0,0,3,0,0
419,LECA,6,2,1,2,1,5,0
4196,LECA,2,0,0,0,2,0,0
4200,LECA,2,1,0,0,1,1,0
4207,LECA,2,0,1,0,1,1,0
4211,LECA,3,1,1,0,1,2,0
4221,Gnathostomata,4,1,0,0,3,1,0
4223,Vertebrata,2,0,0,0,2,0,0
4227,Gnathostomata,2,0,0,0,2,0,0
4229,LECA,2,1,0,0,1,1,0
423,LECA,13,0,0,1,12,1,0
4231,Vertebrata,3,1,1,0,1,2,0
4236,Bilateria,2,0,0,2,0,2,0
4237,LECA,2,0,0,0,2,0,0
4244,LECA,2,1,0,0,1,1,0
4246,Bilateria,4,0,1,0,3,1,0
4248,Bilateria,13,1,0,1,11,2,0
425,LECA,7,1,0,1,5,2,1
4250,Bilateria,5,1,2,0,2,3,0
4252,LECA,3,0,0,1,2,1,1
4256,LECA,3,0,0,2,1,2,0
426,LECA,7,2,1,0,4,3,0
4263,Bilateria,3,2,0,0,1,2,0
4264,LECA,3,0,0,1,2,1,0
427,Bilateria,5,1,0,1,3,2,1
4274,LECA,3,1,0,0,2,1,0
4277,LECA,2,1,0,0,1,1,0
4280,Gnathostomata,2,0,0,0,2,0,0
4287,Vertebrata,2,0,0,0,2,0,0
4288,LECA,3,1,0,0,2,1,0
429,LECA,5,0,1,0,4,1,0
43,LECA,22,2,5,1,14,8,1
430,LECA,8,2,1,0,5,3,0
431,LECA,2,0,1,0,1,1,0
4317,LECA,2,0,0,0,2,0,0
432,Gnathostomata,2,0,0,0,2,0,0
4328,Vertebrata,2,1,0,0,1,1,1
433,Bilateria,4,0,0,1,3,1,0
4338,LECA,3,0,1,0,2,1,0
434,LECA,8,0,0,1,7,1,1
4345,Gnathostomata,2,0,0,0,2,0,0
4347,LECA,2,0,0,0,2,0,0
435,Bilateria,11,3,2,0,6,5,1
4351,Opisthokonta,2,0,0,0,2,0,0
4352,Bilateria,6,1,1,0,4,2,0
4354,LECA,2,0,0,0,2,0,0
4357,Opisthokonta,4,0,0,0,4,0,0
4364,Simiiformes,2,0,0,0,2,0,0
437,Opisthokonta,3,0,0,0,3,0,0
4373,Bilateria,2,0,0,0,2,0,0
438,LECA,52,4,9,3,36,16,1
4381,Vertebrata,2,0,0,0,2,0,0
4387,LECA,2,0,1,1,0,2,0
439,Chordata,4,1,0,0,3,1,0
4390,Bilateria,2,1,1,0,0,2,0
4393,Gnathostomata,2,1,0,0,1,1,0
44,LECA,5,0,0,0,5,0,0
440,LECA,22,1,2,1,18,4,1
4404,LECA,2,1,0,0,1,1,0
4405,Vertebrata,2,0,0,0,2,0,0
441,LECA,2,0,0,2,0,2,0
4412,Amniota,2,0,0,0,2,0,0
443,LECA,3,1,2,0,0,3,0
4431,Bilateria,9,0,1,6,2,7,0
4432,LECA,6,1,0,3,2,4,0
4433,Vertebrata,2,0,1,1,0,2,0
444,LECA,11,0,2,2,7,4,0
4441,Euteleostomi,11,3,0,1,7,4,0
4443,Opisthokonta,3,0,1,0,2,1,0
4451,Opisthokonta,2,1,0,1,0,2,0
4458,Vertebrata,2,0,1,0,1,1,0
4459,LECA,4,0,0,0,4,0,0
446,LECA,4,1,0,2,1,3,0
4464,Vertebrata,2,1,0,0,1,1,0
4471,Simiiformes,3,1,0,0,2,1,0
4479,Chordata,2,0,0,0,2,0,0
448,LECA,3,0,0,0,3,0,0
4482,LECA,4,0,1,0,3,1,0
449,Vertebrata,2,0,0,0,2,0,0
4493,Gnathostomata,2,0,0,0,2,0,1
4494,LECA,2,0,0,0,2,0,0
4499,Chordata,2,0,1,0,1,1,0
45,Bilateria,9,0,0,2,7,2,1
450,Chordata,3,0,0,0,3,0,0
4509,LECA,3,0,1,2,0,3,0
4519,Bilateria,3,0,1,0,2,1,0
452,LECA,22,3,4,1,14,8,0
4523,Euteleostomi,8,0,1,3,4,4,1
4526,LECA,2,0,0,0,2,0,0
4528,LECA,2,0,0,0,2,0,0
453,LECA,6,0,1,1,4,2,2
4537,Vertebrata,3,0,0,0,3,0,0
4543,Bilateria,6,1,0,1,4,2,0
4547,Euteleostomi,2,0,0,0,2,0,0
455,LECA,29,2,5,2,20,9,2
4555,LECA,13,4,3,0,6,7,3
4557,LECA,2,0,1,0,1,1,0
456,LECA,8,0,2,0,6,2,0
4563,LECA,2,0,0,2,0,2,0
4564,Gnathostomata,2,0,0,0,2,0,0
4570,Bilateria,4,0,0,1,3,1,0
4572,Vertebrata,3,0,1,0,2,1,0
4575,LECA,4,0,1,1,2,2,0
4577,LECA,6,2,0,0,4,2,0
4580,Gnathostomata,2,0,0,0,2,0,0
4581,Chordata,3,0,0,0,3,0,0
4585,Gnathostomata,3,1,1,0,1,2,0
4588,LECA,3,0,0,0,3,0,0
459,LECA,2,0,0,0,2,0,0
4595,LECA,2,0,0,0,2,0,0
46,LECA,4,0,1,1,2,2,0
4611,LECA,5,0,1,1,3,2,0
4620,Bilateria,4,1,0,1,2,2,0
4624,LECA,2,0,0,0,2,0,0
4639,Haplorrhini,3,1,0,0,2,1,1
464,LECA,3,0,0,0,3,0,1
4643,LECA,2,0,0,0,2,0,0
4647,LECA,2,0,0,0,2,0,0
4649,Vertebrata,2,1,0,0,1,1,0
465,LECA,14,1,1,5,7,7,1
4651,Catarrhini,6,0,0,0,6,0,1
4653,LECA,2,1,0,0,1,1,0
466,Opisthokonta,2,0,0,1,1,1,0
4660,Opisthokonta,2,0,1,0,1,1,0
4661,Opisthokonta,2,0,1,0,1,1,0
4668,LECA,2,0,0,0,2,0,0
4669,Gnathostomata,2,0,0,0,2,0,0
4671,Eutheria,3,0,0,0,3,0,0
4677,Gnathostomata,2,0,0,0,2,0,0
4678,Vertebrata,4,1,0,0,3,1,0
4679,Opisthokonta,2,0,0,0,2,0,0
468,Gnathostomata,2,0,0,0,2,0,0
4680,LECA,4,0,0,0,4,0,1
4699,Opisthokonta,2,1,0,0,1,1,0
47,LECA,2,0,1,0,1,1,0
470,LECA,2,0,0,1,1,1,0
4708,Bilateria,3,1,0,0,2,1,0
471,LECA,66,7,8,6,45,21,3
4712,LECA,2,0,0,1,1,1,0
4729,LECA,2,1,0,0,1,1,0
4736,Vertebrata,3,1,0,1,1,2,0
4737,LECA,3,0,0,1,2,1,0
474,LECA,7,0,0,0,7,0,0
4740,LECA,2,0,1,1,0,2,0
4741,Bilateria,11,1,3,0,7,4,0
4743,Chordata,2,2,0,0,0,2,0
475,LECA,3,0,0,1,2,1,0
4755,Opisthokonta,3,0,0,1,2,1,1
4756,Euteleostomi,2,1,0,0,1,1,0
476,LECA,24,5,5,2,12,12,0
4760,Euteleostomi,2,0,0,0,2,0,0
4761,Hominoidea,2,0,1,0,1,1,0
4762,LECA,2,0,0,0,2,0,0
4763,Gnathostomata,2,0,1,0,1,1,0
4765,Chordata,3,0,1,0,2,1,0
477,Bilateria,7,1,0,0,6,1,0
4770,Vertebrata,4,0,0,0,4,0,0
4771,Gnathostomata,2,0,0,1,1,1,0
4774,LECA,5,1,0,1,3,2,0
4777,Vertebrata,2,0,0,2,0,2,1
4779,Euteleostomi,2,1,0,1,0,2,0
4783,Gnathostomata,2,0,1,0,1,1,0
4788,LECA,2,1,0,0,1,1,0
479,Vertebrata,3,0,1,0,2,1,0
4795,LECA,2,0,0,0,2,0,0
4797,Bilateria,5,1,2,0,2,3,1
4798,Gnathostomata,2,0,1,0,1,1,0
48,LECA,5,1,0,2,2,3,0
481,Bilateria,3,1,0,0,2,1,0
4810,LECA,2,0,0,2,0,2,0
4814,Bilateria,4,0,0,0,4,0,0
4817,Opisthokonta,7,0,1,1,5,2,1
4826,Vertebrata,3,0,1,0,2,1,0
483,LECA,7,0,0,3,4,3,0
4831,LECA,6,0,0,0,6,0,0
4837,LECA,2,0,1,0,1,1,0
4839,LECA,2,0,1,0,1,1,0
484,LECA,26,6,1,5,14,12,1
4840,Opisthokonta,2,1,0,0,1,1,0
4847,LECA,2,1,0,0,1,1,0
4849,Chordata,2,0,0,0,2,0,0
485,Gnathostomata,2,0,0,1,1,1,0
4851,LECA,2,0,1,1,0,2,0
4855,Bilateria,4,1,0,0,3,1,0
4856,LECA,3,1,0,1,1,2,0
486,LECA,13,1,1,1,10,3,0
4861,LECA,2,1,0,0,1,1,0
4877,Gnathostomata,3,0,0,0,3,0,0
488,LECA,4,0,0,0,4,0,1
4882,Opisthokonta,2,0,0,1,1,1,0
4887,LECA,3,0,2,0,1,2,0
489,LECA,5,2,1,0,2,3,0
4893,LECA,3,0,0,0,3,0,0
4894,Bilateria,7,0,2,1,4,3,1
4895,Euteleostomi,10,0,0,0,10,0,0
49,LECA,18,3,3,1,11,7,0
490,LECA,9,1,0,1,7,2,0
491,LECA,14,2,2,3,7,7,0
4910,Euteleostomi,2,0,0,0,2,0,0
4912,LECA,3,0,0,2,1,2,0
4919,Vertebrata,2,1,0,0,1,1,0
492,LECA,3,2,0,0,1,2,0
4925,Gnathostomata,3,0,0,1,2,1,0
4928,LECA,3,0,1,0,2,1,0
493,Bilateria,12,0,1,0,11,1,2
4931,Chordata,2,0,0,0,2,0,0
4932,LECA,2,1,0,0,1,1,0
4933,Vertebrata,3,1,0,0,2,1,0
4936,LECA,2,0,1,0,1,1,0
4938,Vertebrata,2,0,0,0,2,0,0
494,Amniota,2,0,1,0,1,1,0
4948,Gnathostomata,2,0,1,0,1,1,0
495,Eutheria,2,0,0,0,2,0,0
4952,Bilateria,3,0,1,0,2,1,0
4953,Bilateria,2,0,0,0,2,0,0
4955,Bilateria,3,2,0,0,1,2,0
4960,Opisthokonta,2,0,0,0,2,0,0
4963,LECA,2,0,0,0,2,0,0
4965,Opisthokonta,2,0,0,1,1,1,0
497,Bilateria,3,0,0,0,3,0,0
4970,Sarcopterygii,3,0,1,0,2,1,0
4972,LECA,3,1,1,0,1,2,0
4973,LECA,6,1,0,0,5,1,0
4978,Gnathostomata,2,1,1,0,0,2,0
4980,Bilateria,3,1,1,0,1,2,0
4982,Bilateria,3,0,0,2,1,2,1
4983,Vertebrata,3,0,0,0,3,0,0
4986,Bilateria,3,0,0,1,2,1,0
499,LECA,13,1,1,7,4,9,2
4991,Bilateria,3,0,0,1,2,1,1
5,LECA,33,3,8,7,15,18,3
50,LECA,3,1,0,0,2,1,0
500,LECA,7,1,5,0,1,6,0
5009,Gnathostomata,3,0,0,0,3,0,0
501,Vertebrata,3,0,1,0,2,1,0
5016,LECA,2,0,1,1,0,2,1
502,LECA,32,3,4,4,21,11,2
503,LECA,4,0,1,1,2,2,0
5032,Bilateria,3,0,1,1,1,2,0
5034,Vertebrata,2,1,0,1,0,2,0
5039,Bilateria,3,0,1,1,1,2,0
504,LECA,2,0,0,0,2,0,0
5040,Opisthokonta,2,0,0,0,2,0,0
5041,Gnathostomata,2,0,0,0,2,0,0
506,Vertebrata,2,1,1,0,0,2,0
5060,Eutheria,3,0,0,0,3,0,0
5061,Vertebrata,2,1,1,0,0,2,0
5062,LECA,2,1,0,1,0,2,1
5071,Bilateria,4,0,0,1,3,1,0
5076,Vertebrata,2,1,0,0,1,1,0
5086,LECA,3,0,1,1,1,2,0
5087,Theria,2,0,0,0,2,0,0
5089,Theria,3,0,0,0,3,0,0
509,LECA,28,4,4,3,17,11,0
5096,Chordata,4,1,1,0,2,2,0
5098,Vertebrata,3,0,2,0,1,2,0
51,LECA,11,3,1,1,6,5,0
5100,Vertebrata,3,1,2,0,0,3,0
5104,LECA,3,1,0,0,2,1,0
5111,Bilateria,2,1,0,0,1,1,0
5115,Gnathostomata,2,0,1,0,1,1,0
5116,Chordata,3,0,0,0,3,0,0
512,Gnathostomata,3,0,0,1,2,1,0
5126,Opisthokonta,2,0,0,1,1,1,0
513,LECA,8,0,1,1,6,2,0
5132,Vertebrata,2,0,1,0,1,1,0
5133,LECA,2,0,0,0,2,0,0
5145,Bilateria,2,0,1,1,0,2,0
515,LECA,3,0,0,0,3,0,0
5151,LECA,4,0,1,0,3,1,0
5158,Gnathostomata,2,0,0,1,1,1,1
516,Gnathostomata,2,0,0,0,2,0,0
5161,Vertebrata,2,0,0,0,2,0,0
5166,LECA,3,0,0,0,3,0,0
5176,Gnathostomata,2,0,0,0,2,0,0
5179,Vertebrata,2,1,0,0,1,1,0
518,LECA,3,0,2,1,0,3,0
5190,Gnathostomata,2,1,0,0,1,1,0
52,LECA,39,4,3,5,27,12,2
5200,Chordata,2,0,1,0,1,1,0
5203,LECA,5,2,2,0,1,4,0
5215,Opisthokonta,2,0,0,0,2,0,0
5218,Chordata,2,0,0,0,2,0,1
522,LECA,11,1,2,3,5,6,2
5234,Vertebrata,2,0,0,0,2,0,0
5238,Gnathostomata,3,0,0,2,1,2,0
5239,LECA,3,2,1,0,0,3,0
524,Bilateria,2,0,1,0,1,1,0
5243,Gnathostomata,2,0,0,1,1,1,0
5248,Vertebrata,2,0,0,0,2,0,0
525,LECA,2,0,0,1,1,1,0
5250,LECA,2,0,0,1,1,1,1
5254,LECA,2,0,0,0,2,0,1
5256,Bilateria,2,1,0,0,1,1,0
5259,Theria,2,0,1,0,1,1,0
526,Amniota,2,0,0,0,2,0,0
5276,Bilateria,5,1,1,0,3,2,0
5283,LECA,3,0,0,0,3,0,0
5286,Sarcopterygii,2,0,0,0,2,0,0
5288,Bilateria,4,0,1,0,3,1,0
53,LECA,46,7,2,8,29,17,2
531,LECA,3,1,1,0,1,2,0
532,LECA,6,0,1,1,4,2,0
533,Vertebrata,3,0,1,0,2,1,0
5334,LECA,3,2,0,0,1,2,0
5335,LECA,2,0,0,0,2,0,0
5336,Eutheria,4,2,0,0,2,2,0
5339,Eutheria,9,2,1,2,4,5,0
534,Bilateria,3,0,0,1,2,1,0
5348,LECA,2,1,0,0,1,1,0
535,LECA,35,4,1,2,28,7,0
5350,LECA,3,1,0,0,2,1,0
5356,LECA,2,0,0,0,2,0,0
5358,LECA,6,0,0,0,6,0,0
536,LECA,10,2,1,1,6,4,1
537,LECA,20,2,1,1,16,4,1
5372,Vertebrata,4,0,0,1,3,1,0
5375,Chordata,2,1,0,0,1,1,0
538,LECA,2,0,1,0,1,1,0
539,LECA,11,2,2,4,3,8,0
5398,LECA,2,0,0,0,2,0,0
54,Gnathostomata,2,0,0,0,2,0,0
540,LECA,3,1,0,0,2,1,0
5413,Chordata,2,0,0,0,2,0,0
5414,Simiiformes,2,1,0,0,1,1,0
542,LECA,5,1,1,0,3,2,0
543,LECA,4,1,0,0,3,1,0
5437,Gnathostomata,6,0,2,1,3,3,0
544,Bilateria,5,1,0,2,2,3,1
5444,Vertebrata,4,1,1,1,1,3,0
5447,Gnathostomata,2,0,1,0,1,1,0
545,LECA,4,0,2,1,1,3,0
5458,Vertebrata,2,1,0,0,1,1,0
546,LECA,2,1,0,0,1,1,0
5466,Opisthokonta,2,0,0,1,1,1,0
5469,Euteleostomi,2,1,0,0,1,1,0
547,LECA,2,1,1,0,0,2,0
5475,LECA,13,1,0,0,12,1,0
5476,Vertebrata,2,0,0,0,2,0,0
5489,LECA,9,0,1,2,6,3,0
549,Opisthokonta,36,2,2,2,30,6,1
55,LECA,4,1,1,0,2,2,0
550,Opisthokonta,7,1,0,2,4,3,1
551,Gnathostomata,2,0,1,0,1,1,0
5514,Gnathostomata,3,0,1,1,1,2,0
5517,LECA,4,1,0,1,2,2,0
5519,Gnathostomata,6,0,1,1,4,2,0
5524,LECA,5,0,0,0,5,0,0
5526,Gnathostomata,2,0,2,0,0,2,0
5529,LECA,3,0,1,0,2,1,0
553,Chordata,7,0,1,0,6,1,0
5532,Opisthokonta,3,1,0,0,2,1,0
5534,Euteleostomi,2,0,0,0,2,0,0
554,Vertebrata,4,0,0,1,3,1,0
5541,LECA,4,0,2,1,1,3,0
5546,Gnathostomata,2,0,1,0,1,1,0
5548,Opisthokonta,2,0,1,0,1,1,0
5549,Opisthokonta,2,0,0,0,2,0,0
555,Vertebrata,2,0,0,0,2,0,0
5555,Opisthokonta,5,2,1,1,1,4,0
5557,Vertebrata,2,0,1,0,1,1,1
556,LECA,3,0,0,0,3,0,0
5560,LECA,2,0,0,0,2,0,0
5568,Bilateria,2,0,0,0,2,0,0
5572,Gnathostomata,6,0,2,0,4,2,1
5584,LECA,2,0,0,0,2,0,0
5585,Gnathostomata,2,0,0,0,2,0,0
5586,LECA,3,0,0,1,2,1,0
5588,Gnathostomata,2,0,0,0,2,0,0
5595,Opisthokonta,3,0,1,1,1,2,0
56,LECA,8,0,0,1,7,1,0
560,LECA,3,1,0,0,2,1,0
5601,Simiiformes,2,1,0,0,1,1,0
5605,Vertebrata,2,0,1,0,1,1,0
561,LECA,20,3,5,8,4,16,3
5616,LECA,5,0,0,0,5,0,0
5627,Gnathostomata,3,0,0,1,2,1,0
5628,Vertebrata,4,1,0,0,3,1,0
563,LECA,4,1,2,0,1,3,0
5631,Gnathostomata,3,1,0,1,1,2,1
564,Chordata,4,1,1,0,2,2,0
5645,Vertebrata,2,0,1,0,1,1,0
5649,LECA,2,0,1,0,1,1,0
565,LECA,2,0,0,0,2,0,0
5653,Vertebrata,2,0,1,0,1,1,0
566,Bilateria,3,1,0,1,1,2,0
5665,Bilateria,2,1,0,0,1,1,0
5666,Opisthokonta,2,0,0,1,1,1,0
567,LECA,7,1,1,3,2,5,2
5671,Chordata,2,1,0,0,1,1,0
5672,Vertebrata,2,0,0,0,2,0,0
5690,LECA,3,1,1,1,0,3,0
5696,LECA,2,0,0,0,2,0,1
57,LECA,34,5,3,4,22,12,1
5700,Bilateria,3,0,0,0,3,0,0
571,LECA,4,1,0,0,3,1,0
5710,Bilateria,3,0,0,0,3,0,0
5716,Gnathostomata,2,0,0,0,2,0,0
572,Gnathostomata,2,0,0,0,2,0,0
5720,Bilateria,2,1,0,1,0,2,0
5724,Gnathostomata,2,1,0,0,1,1,0
5726,Gnathostomata,4,1,1,0,2,2,1
573,Euteleostomi,2,0,0,0,2,0,0
5731,Vertebrata,3,1,1,1,0,3,0
5736,Vertebrata,2,1,1,0,0,2,0
574,LECA,2,0,1,1,0,2,0
5740,Bilateria,2,0,0,0,2,0,0
5746,Eutheria,2,0,0,0,2,0,0
5747,LECA,3,0,0,0,3,0,0
5751,Vertebrata,3,0,0,0,3,0,0
5753,Bilateria,4,1,0,1,2,2,1
576,LECA,7,1,1,1,4,3,0
5765,LECA,2,1,0,1,0,2,0
577,Chordata,3,0,0,1,2,1,0
5770,Gnathostomata,5,0,0,0,5,0,0
5775,Chordata,2,0,0,0,2,0,0
5777,LECA,2,0,0,2,0,2,0
578,LECA,2,0,0,0,2,0,0
5780,Gnathostomata,2,1,0,1,0,2,0
5786,Vertebrata,4,0,0,0,4,0,0
579,LECA,14,2,4,5,3,11,1
5791,LECA,2,1,0,0,1,1,0
5793,LECA,5,0,0,0,5,0,0
58,LECA,4,2,1,1,0,4,0
5800,LECA,4,0,0,0,4,0,0
5803,Chordata,2,0,0,0,2,0,0
5808,LECA,3,0,1,0,2,1,0
581,LECA,5,0,0,0,5,0,0
5810,Chordata,3,0,0,1,2,1,0
5816,Vertebrata,5,0,2,0,3,2,1
5830,LECA,2,0,0,0,2,0,0
5832,Bilateria,2,0,0,0,2,0,0
584,LECA,2,0,0,0,2,0,0
5841,LECA,3,0,0,1,2,1,0
5842,LECA,3,1,0,0,2,1,0
5845,LECA,3,0,2,0,1,2,0
5849,LECA,2,1,0,0,1,1,0
5850,LECA,3,1,0,0,2,1,0
5856,LECA,2,1,1,0,0,2,0
586,LECA,7,1,0,0,6,1,0
5863,Bilateria,2,2,0,0,0,2,0
5866,Bilateria,3,0,0,0,3,0,0
5874,Opisthokonta,3,1,1,0,1,2,0
5878,Chordata,2,1,0,0,1,1,0
5886,LECA,2,0,1,0,1,1,0
589,Bilateria,6,0,1,0,5,1,0
5891,LECA,2,1,0,0,1,1,0
59,LECA,13,1,2,1,9,4,0
590,LECA,36,11,3,1,21,15,2
5907,LECA,2,0,0,0,2,0,0
5909,Gnathostomata,2,0,1,0,1,1,0
5913,Euteleostomi,2,0,0,0,2,0,0
592,LECA,41,5,4,4,28,13,2
5920,Bilateria,2,0,1,0,1,1,0
5932,LECA,2,0,0,0,2,0,0
595,LECA,34,4,6,9,15,19,2
5955,LECA,2,0,2,0,0,2,0
596,Bilateria,2,0,0,0,2,0,0
5963,LECA,2,0,1,0,1,1,0
