Disease_Association,Most_Haploinsufficient_gene,dNdS
Unknown.None,D,0.0018.0.0019
Unknown.None,C,0.0015.0.0187
Unknown.None,D,0.0.0053
Unknown.None,C,0.0.0247
Unknown.Unknown,C,0.0044.0.008
Unknown.Recessive,D,0.0005.0.0008
Unknown.Unknown,NA,0.0033.0.017
None.None,C,0.0009.0.0019
None.None,C,0.0022.0.0592
Unknown.Unknown,C,0.002.0.0538
Unknown.None,C,0.0009.0.0213
Dominant.Dominant,C,0.0.0017
Unknown.Unknown,C,0.0.0005
Unknown.Unknown,D,0.0.0008
Unknown.Both,C,0.0022.0.0032
Unknown.Unknown,C,0.0049.0.0079
Dominant.Unknown,C,0.0.0205
Unknown.None,NA,0.0033.0.0051
Unknown.None,D,0.0007.0.0024
Unknown.Dominant,D,0.0.0008
Unknown.None,C,0.0.0025
Recessive.Unknown,C,0.0005.0.0048
Recessive.Unknown,C,0.0.0013
Unknown.Unknown,C,0.0018.0.0038
Unknown.Unknown,C,0.0017.0.0027
Unknown.Unknown,D,0.0062.0.0065
Unknown.Unknown,C,0.0025.0.0316
Unknown.Unknown,C,0.0009.0.0022
Unknown.Unknown,C,0.0.0553
Unknown.Dominant,D,0.0054.0.0175
Unknown.Unknown,D,0.0018.0.0518
Unknown.Both,C,0.0.0111
Recessive.Unknown,C,0.0.0009
Unknown.Unknown,C,0.0.0023
Dominant.Recessive,D,0.0046.0.1926
Unknown.None,C,0.0016.0.0019
Unknown.Dominant,C,0.0.0029
Unknown.Unknown,NA,0.001.0.0034
Recessive.Unknown,D,0.0009.0.0067
Unknown.Recessive,C,0.0086.0.0111
Unknown.Unknown,C,0.0.0028
Unknown.Unknown,D,0.0015.0.0457
Unknown.Unknown,C,0.004.0.006
Dominant.Unknown,C,0.0.0007
None.Unknown,C,0.0005.0.0015
Unknown.Unknown,C,0.0011.0.0027
Recessive.None,C,0.0027.0.0037
Unknown.Recessive,C,0.0006.0.0134
Unknown.Unknown,C,0.0.0261
Unknown.Unknown,C,0.0008.0.0019
Unknown.Unknown,C,0.0032.0.0151
Unknown.Dominant,C,0.0024.0.0038
Unknown.Unknown,C,0.0016.0.0278
Unknown.Unknown,D,0.0018.0.0051
Unknown.Unknown,C,0.0016.0.0053
Unknown.Unknown,C,0.0.0023
None.Unknown,NA,0.0029.0.0151
Unknown.Unknown,C,0.0025.0.1349
Unknown.Unknown,C,0.0101.0.0161
Dominant.Unknown,D,0.0003.0.0234
Unknown.Unknown,C,0.0005.0.0083
Unknown.None,C,0.002.0.003
Unknown.Unknown,D,0.0008.0.0042
Dominant.Unknown,D,0.0012.0.0027
Dominant.Unknown,D,0.0.0005
Dominant.Unknown,C,0.0.0013
Unknown.Unknown,C,0.001.0.0022
Unknown.Both,D,0.0022.0.0086
Unknown.Unknown,C,0.0015.0.0051
Unknown.Recessive,C,0.0.0009
Unknown.Unknown,C,0.0204.0.0404
Unknown.Unknown,C,0.0024.0.0059
Unknown.Recessive,D,0.0056.0.1297
None.Dominant,NA,0.0.0026
